PRODUCT_NAME,CATEGORY,UNIT_PRICE
LED Strip Light 45,Accessories,242.00
Picture Frame Set 36,Accessories,233.00
Toaster Oven 27,Accessories,231.00
Toaster Oven 87,Accessories,218.00
Picture Frame Set 51,Accessories,218.00
LED Strip Light 90,Accessories,200.00
Picture Frame Set 6,Accessories,167.00
Picture Frame Set 21,Accessories,163.00
Blender 3,Accessories,163.00
Toaster Oven 42,Accessories,158.00
Toaster Oven 72,Accessories,156.00
Smart Lamp 24,Accessories,130.00
Toaster Oven 12,Accessories,130.00
Smart Lamp 84,Accessories,120.00
LED Strip Light 75,Accessories,98.00
LED Strip Light 15,Accessories,87.00
Blender 33,Accessories,87.00
LED Strip Light 60,Accessories,86.00
Smart Lamp 54,Accessories,76.00
Picture Frame Set 81,Accessories,66.00
LED Strip Light 0,Accessories,64.00
Picture Frame Set 96,Accessories,63.00
Blender 63,Accessories,61.00
Blender 93,Accessories,56.00
LED Strip Light 30,Accessories,43.00
Toaster Oven 57,Accessories,39.00
Picture Frame Set 66,Accessories,38.00
Blender 23,Home,240.00
Picture Frame Set 41,Home,238.00
Smart Lamp 74,Home,228.00
LED Strip Light 35,Home,224.00
Toaster Oven 32,Home,220.00
Toaster Oven 2,Home,194.00
Toaster Oven 92,Home,184.00
Picture Frame Set 56,Home,171.00
Picture Frame Set 26,Home,141.00
LED Strip Light 95,Home,130.00
Blender 53,Home,110.00
Toaster Oven 62,Home,109.00
Toaster Oven 17,Home,107.00
LED Strip Light 65,Home,103.00
Picture Frame Set 11,Home,103.00
LED Strip Light 20,Home,102.00
Toaster Oven 77,Home,92.00
LED Strip Light 50,Home,89.00
Picture Frame Set 86,Home,88.00
LED Strip Light 5,Home,85.00
Toaster Oven 47,Home,79.00
Smart Lamp 14,Home,67.00
Blender 83,Home,60.00
Smart Lamp 44,Home,60.00
Picture Frame Set 71,Home,49.00
LED Strip Light 80,Home,19.00
Blender 43,Kitchen,225.00
Blender 73,Kitchen,219.00
Picture Frame Set 76,Kitchen,218.00
LED Strip Light 25,Kitchen,215.00
LED Strip Light 70,Kitchen,204.00
Smart Lamp 34,Kitchen,175.00
Blender 13,Kitchen,168.00
Picture Frame Set 61,Kitchen,163.00
Picture Frame Set 46,Kitchen,154.00
Picture Frame Set 16,Kitchen,147.00
Toaster Oven 37,Kitchen,131.00
LED Strip Light 10,Kitchen,129.00
Picture Frame Set 31,Kitchen,108.00
Picture Frame Set 1,Kitchen,87.00
LED Strip Light 40,Kitchen,86.00
LED Strip Light 85,Kitchen,81.00
Smart Lamp 64,Kitchen,81.00
Smart Lamp 4,Kitchen,80.00
Smart Lamp 94,Kitchen,61.00
Toaster Oven 82,Kitchen,54.00
Toaster Oven 67,Kitchen,52.00
Toaster Oven 22,Kitchen,45.00
Toaster Oven 97,Kitchen,37.00
Toaster Oven 7,Kitchen,27.00
Picture Frame Set 91,Kitchen,27.00
Toaster Oven 52,Kitchen,25.00
LED Strip Light 55,Kitchen,24.00
