STORE_NAME,TOTAL_SALES,UNIQUE_CUSTOMERS
Store 87,1090.0000,1
Store 51,1090.0000,1
Store 23,960.0000,1
Store 92,920.0000,1
Store 28,896.0000,1
Store 73,876.0000,1
Store 76,872.0000,1
Online CA 25,860.0000,1
Online CA 45,726.0000,1
Online CA 35,672.0000,1
Store 9,665.0000,1
Store 37,655.0000,1
Store 3,652.0000,1
Store 21,652.0000,1
Store 24,650.0000,1
Online CA 70,612.0000,1
Store 26,564.0000,1
Store 53,550.0000,1
Store 62,545.0000,1
Store 56,513.0000,1
Store 13,504.0000,1
Store 6,501.0000,1
Store 69,495.0000,1
Store 41,476.0000,1
Store 36,466.0000,1
Store 77,460.0000,1
Store 16,441.0000,1
Store 32,440.0000,1
Store 33,435.0000,1
Online CA 15,435.0000,1
Online CA 90,400.0000,1
Store 4,400.0000,1
Store 98,399.0000,1
Store 39,396.0000,1
Online CA 75,392.0000,1
Online CA 95,390.0000,1
Store 84,360.0000,1
Online CA 50,356.0000,1
Store 34,350.0000,1
Store 61,326.0000,1
Store 31,324.0000,1
Store 64,324.0000,1
Store 42,316.0000,1
Store 96,315.0000,1
Store 54,304.0000,1
Store 68,300.0000,1
Store 38,276.0000,1
Store 14,268.0000,1
Store 48,264.0000,1
Store 67,260.0000,1
Store 12,260.0000,1
Online CA 60,258.0000,1
Online CA 10,258.0000,1
Online CA 5,255.0000,1
Store 63,244.0000,1
Online CA 85,243.0000,1
Store 44,240.0000,1
Store 83,240.0000,1
Store 27,231.0000,1
Store 74,228.0000,1
Store 8,228.0000,1
Store 43,225.0000,1
Store 58,224.0000,1
Store 19,208.0000,1
Online CA 65,206.0000,1
Online CA 20,204.0000,1
Store 49,200.0000,1
Store 78,198.0000,1
Store 71,196.0000,1
Store 79,195.0000,1
Store 2,194.0000,1
Store 97,185.0000,1
Online CA 40,172.0000,1
Store 93,168.0000,1
Store 99,163.0000,1
Store 72,156.0000,1
Store 57,156.0000,1
Store 46,154.0000,1
Store 59,135.0000,1
Store 22,135.0000,1
Store 88,132.0000,1
Online CA 0,128.0000,1
Store 82,108.0000,1
Store 17,107.0000,1
Store 11,103.0000,1
Online CA 80,95.0000,1
Store 29,92.0000,1
Store 86,88.0000,1
Store 1,87.0000,1
Store 89,87.0000,1
Online CA 30,86.0000,1
Store 47,79.0000,1
Store 66,76.0000,1
Online CA 55,72.0000,1
Store 81,66.0000,1
Store 94,61.0000,1
Store 7,54.0000,1
Store 52,50.0000,1
Store 18,37.0000,1
Store 91,27.0000,1
