CUSTOMER_KEY,PRODUCT_KEY,REVENUE,REVENUE_CATEGORY
1,1,128.0000,High
2,2,87.0000,Medium
3,3,194.0000,High
4,4,652.0000,High
5,5,400.0000,High
6,6,255.0000,High
7,7,501.0000,High
8,8,54.0000,Medium
9,9,228.0000,High
10,10,665.0000,High
11,11,258.0000,High
12,12,103.0000,High
13,13,260.0000,High
14,14,504.0000,High
15,15,268.0000,High
16,16,435.0000,High
17,17,441.0000,High
18,18,107.0000,High
19,19,37.0000,Low
20,20,208.0000,High
21,21,204.0000,High
22,22,652.0000,High
23,23,135.0000,High
24,24,960.0000,High
25,25,650.0000,High
26,26,860.0000,High
27,27,564.0000,High
28,28,231.0000,High
29,29,896.0000,High
30,30,92.0000,Medium
31,31,86.0000,Medium
32,32,324.0000,High
33,33,440.0000,High
34,34,435.0000,High
35,35,350.0000,High
36,36,672.0000,High
37,37,466.0000,High
38,38,655.0000,High
39,39,276.0000,High
40,40,396.0000,High
41,41,172.0000,High
42,42,476.0000,High
43,43,316.0000,High
44,44,225.0000,High
45,45,240.0000,High
46,46,726.0000,High
47,47,154.0000,High
48,48,79.0000,Medium
49,49,264.0000,High
50,50,200.0000,High
51,51,356.0000,High
52,52,1090.0000,High
53,53,50.0000,Medium
54,54,550.0000,High
55,55,304.0000,High
56,56,72.0000,Medium
57,57,513.0000,High
58,58,156.0000,High
59,59,224.0000,High
60,60,135.0000,High
61,61,258.0000,High
62,62,326.0000,High
63,63,545.0000,High
64,64,244.0000,High
65,65,324.0000,High
66,66,206.0000,High
67,67,76.0000,Medium
68,68,260.0000,High
69,69,300.0000,High
70,70,495.0000,High
71,71,612.0000,High
72,72,196.0000,High
73,73,156.0000,High
74,74,876.0000,High
75,75,228.0000,High
76,76,392.0000,High
77,77,872.0000,High
78,78,460.0000,High
79,79,198.0000,High
80,80,195.0000,High
81,81,95.0000,Medium
82,82,66.0000,Medium
83,83,108.0000,High
84,84,240.0000,High
85,85,360.0000,High
86,86,243.0000,High
87,87,88.0000,Medium
88,88,1090.0000,High
89,89,132.0000,High
90,90,87.0000,Medium
91,91,400.0000,High
92,92,27.0000,Low
93,93,920.0000,High
94,94,168.0000,High
95,95,61.0000,Medium
96,96,390.0000,High
97,97,315.0000,High
98,98,185.0000,High
99,99,399.0000,High
100,100,163.0000,High
