PRODUCT_NAME,UNIT_PRICE
Toaster Oven 2,194.00
Blender 3,163.00
Picture Frame Set 6,167.00
Smart Lamp 9,133.00
LED Strip Light 10,129.00
Toaster Oven 12,130.00
Blender 13,168.00
Picture Frame Set 16,147.00
Picture Frame Set 21,163.00
Blender 23,240.00
Smart Lamp 24,130.00
LED Strip Light 25,215.00
Picture Frame Set 26,141.00
Toaster Oven 27,231.00
Blender 28,224.00
Toaster Oven 32,220.00
Smart Lamp 34,175.00
LED Strip Light 35,224.00
Picture Frame Set 36,233.00
Toaster Oven 37,131.00
Smart Lamp 39,132.00
Picture Frame Set 41,238.00
Toaster Oven 42,158.00
Blender 43,225.00
LED Strip Light 45,242.00
Picture Frame Set 46,154.00
Smart Lamp 49,200.00
Picture Frame Set 51,218.00
Picture Frame Set 56,171.00
Smart Lamp 59,135.00
Picture Frame Set 61,163.00
Smart Lamp 69,165.00
LED Strip Light 70,204.00
Toaster Oven 72,156.00
Blender 73,219.00
Smart Lamp 74,228.00
Picture Frame Set 76,218.00
Blender 78,198.00
Smart Lamp 84,120.00
Toaster Oven 87,218.00
LED Strip Light 90,200.00
Toaster Oven 92,184.00
LED Strip Light 95,130.00
Blender 98,133.00
Smart Lamp 99,163.00
