CATEGORY,PRODUCT_NAME,TOTAL_REVENUE,PRODUCT_RANK
Accessories,Picture Frame Set 51,1090.0000,1
Accessories,Toaster Oven 87,1090.0000,1
Accessories,LED Strip Light 45,726.0000,3
Accessories,Smart Lamp 9,665.0000,4
Accessories,Picture Frame Set 21,652.0000,5
Accessories,Blender 3,652.0000,5
Accessories,Smart Lamp 24,650.0000,7
Accessories,Picture Frame Set 6,501.0000,8
Accessories,Smart Lamp 69,495.0000,9
Accessories,Picture Frame Set 36,466.0000,10
Accessories,Blender 33,435.0000,11
Accessories,LED Strip Light 15,435.0000,11
Accessories,LED Strip Light 90,400.0000,13
Accessories,Smart Lamp 39,396.0000,14
Accessories,LED Strip Light 75,392.0000,15
Accessories,Smart Lamp 84,360.0000,16
Accessories,Toaster Oven 42,316.0000,17
Accessories,Picture Frame Set 96,315.0000,18
Accessories,Smart Lamp 54,304.0000,19
Accessories,Blender 48,264.0000,20
Accessories,Toaster Oven 12,260.0000,21
Accessories,LED Strip Light 60,258.0000,22
Accessories,Blender 63,244.0000,23
Accessories,Toaster Oven 27,231.0000,24
Accessories,Blender 78,198.0000,25
Accessories,Blender 93,168.0000,26
Accessories,Smart Lamp 99,163.0000,27
Accessories,Toaster Oven 72,156.0000,28
Accessories,Toaster Oven 57,156.0000,28
Accessories,LED Strip Light 0,128.0000,30
Accessories,LED Strip Light 30,86.0000,31
Accessories,Picture Frame Set 66,76.0000,32
Accessories,Picture Frame Set 81,66.0000,33
Accessories,Blender 18,37.0000,34
Home,Blender 23,960.0000,1
Home,Toaster Oven 92,920.0000,2
Home,LED Strip Light 35,672.0000,3
Home,Picture Frame Set 26,564.0000,4
Home,Blender 53,550.0000,5
Home,Toaster Oven 62,545.0000,6
Home,Picture Frame Set 56,513.0000,7
Home,Picture Frame Set 41,476.0000,8
Home,Toaster Oven 77,460.0000,9
Home,Toaster Oven 32,440.0000,10
Home,Blender 98,399.0000,11
Home,LED Strip Light 95,390.0000,12
Home,LED Strip Light 50,356.0000,13
Home,Blender 68,300.0000,14
Home,Blender 38,276.0000,15
Home,Smart Lamp 14,268.0000,16
Home,LED Strip Light 5,255.0000,17
Home,Blender 83,240.0000,18
Home,Smart Lamp 44,240.0000,18
Home,Blender 8,228.0000,20
Home,Smart Lamp 74,228.0000,20
Home,LED Strip Light 65,206.0000,22
Home,LED Strip Light 20,204.0000,23
Home,Picture Frame Set 71,196.0000,24
Home,Toaster Oven 2,194.0000,25
Home,Smart Lamp 59,135.0000,26
Home,Toaster Oven 17,107.0000,27
Home,Picture Frame Set 11,103.0000,28
Home,LED Strip Light 80,95.0000,29
Home,Smart Lamp 29,92.0000,30
Home,Picture Frame Set 86,88.0000,31
Home,Smart Lamp 89,87.0000,32
Home,Toaster Oven 47,79.0000,33
Kitchen,Blender 28,896.0000,1
Kitchen,Blender 73,876.0000,2
Kitchen,Picture Frame Set 76,872.0000,3
Kitchen,LED Strip Light 25,860.0000,4
Kitchen,Toaster Oven 37,655.0000,5
Kitchen,LED Strip Light 70,612.0000,6
Kitchen,Blender 13,504.0000,7
Kitchen,Picture Frame Set 16,441.0000,8
Kitchen,Smart Lamp 4,400.0000,9
Kitchen,Smart Lamp 34,350.0000,10
Kitchen,Picture Frame Set 61,326.0000,11
Kitchen,Smart Lamp 64,324.0000,12
Kitchen,Picture Frame Set 31,324.0000,12
Kitchen,Toaster Oven 67,260.0000,14
Kitchen,LED Strip Light 10,258.0000,15
Kitchen,LED Strip Light 85,243.0000,16
Kitchen,Blender 43,225.0000,17
Kitchen,Blender 58,224.0000,18
Kitchen,Smart Lamp 19,208.0000,19
Kitchen,Smart Lamp 49,200.0000,20
Kitchen,Smart Lamp 79,195.0000,21
Kitchen,Toaster Oven 97,185.0000,22
Kitchen,LED Strip Light 40,172.0000,23
Kitchen,Picture Frame Set 46,154.0000,24
Kitchen,Toaster Oven 22,135.0000,25
Kitchen,Blender 88,132.0000,26
Kitchen,Toaster Oven 82,108.0000,27
Kitchen,Picture Frame Set 1,87.0000,28
Kitchen,LED Strip Light 55,72.0000,29
Kitchen,Smart Lamp 94,61.0000,30
Kitchen,Toaster Oven 7,54.0000,31
Kitchen,Toaster Oven 52,50.0000,32
Kitchen,Picture Frame Set 91,27.0000,33
