FULL_DATE,DAILY_REVENUE,PREV_DAY_REVENUE,REVENUE_CHANGE
2024-01-01,128.0000,,
2024-01-02,87.0000,128.0000,-41.0000
2024-01-03,194.0000,87.0000,107.0000
2024-01-04,652.0000,194.0000,458.0000
2024-01-05,400.0000,652.0000,-252.0000
2024-01-06,255.0000,400.0000,-145.0000
2024-01-07,501.0000,255.0000,246.0000
2024-01-08,54.0000,501.0000,-447.0000
2024-01-09,228.0000,54.0000,174.0000
2024-01-10,665.0000,228.0000,437.0000
2024-01-11,258.0000,665.0000,-407.0000
2024-01-12,103.0000,258.0000,-155.0000
2024-01-13,260.0000,103.0000,157.0000
2024-01-14,504.0000,260.0000,244.0000
2024-01-15,268.0000,504.0000,-236.0000
2024-01-16,435.0000,268.0000,167.0000
2024-01-17,441.0000,435.0000,6.0000
2024-01-18,107.0000,441.0000,-334.0000
2024-01-19,37.0000,107.0000,-70.0000
2024-01-20,208.0000,37.0000,171.0000
2024-01-21,204.0000,208.0000,-4.0000
2024-01-22,652.0000,204.0000,448.0000
2024-01-23,135.0000,652.0000,-517.0000
2024-01-24,960.0000,135.0000,825.0000
2024-01-25,650.0000,960.0000,-310.0000
2024-01-26,860.0000,650.0000,210.0000
2024-01-27,564.0000,860.0000,-296.0000
2024-01-28,231.0000,564.0000,-333.0000
2024-01-29,896.0000,231.0000,665.0000
2024-01-30,92.0000,896.0000,-804.0000
2024-01-31,86.0000,92.0000,-6.0000
2024-02-01,324.0000,86.0000,238.0000
2024-02-02,440.0000,324.0000,116.0000
2024-02-03,435.0000,440.0000,-5.0000
2024-02-04,350.0000,435.0000,-85.0000
2024-02-05,672.0000,350.0000,322.0000
2024-02-06,466.0000,672.0000,-206.0000
2024-02-07,655.0000,466.0000,189.0000
2024-02-08,276.0000,655.0000,-379.0000
2024-02-09,396.0000,276.0000,120.0000
2024-02-10,172.0000,396.0000,-224.0000
2024-02-11,476.0000,172.0000,304.0000
2024-02-12,316.0000,476.0000,-160.0000
2024-02-13,225.0000,316.0000,-91.0000
2024-02-14,240.0000,225.0000,15.0000
2024-02-15,726.0000,240.0000,486.0000
2024-02-16,154.0000,726.0000,-572.0000
2024-02-17,79.0000,154.0000,-75.0000
2024-02-18,264.0000,79.0000,185.0000
2024-02-19,200.0000,264.0000,-64.0000
2024-02-20,356.0000,200.0000,156.0000
2024-02-21,1090.0000,356.0000,734.0000
2024-02-22,50.0000,1090.0000,-1040.0000
2024-02-23,550.0000,50.0000,500.0000
2024-02-24,304.0000,550.0000,-246.0000
2024-02-25,72.0000,304.0000,-232.0000
2024-02-26,513.0000,72.0000,441.0000
2024-02-27,156.0000,513.0000,-357.0000
2024-02-28,224.0000,156.0000,68.0000
2024-02-29,135.0000,224.0000,-89.0000
2024-03-01,258.0000,135.0000,123.0000
2024-03-02,326.0000,258.0000,68.0000
2024-03-03,545.0000,326.0000,219.0000
2024-03-04,244.0000,545.0000,-301.0000
2024-03-05,324.0000,244.0000,80.0000
2024-03-06,206.0000,324.0000,-118.0000
2024-03-07,76.0000,206.0000,-130.0000
2024-03-08,260.0000,76.0000,184.0000
2024-03-09,300.0000,260.0000,40.0000
2024-03-10,495.0000,300.0000,195.0000
2024-03-11,612.0000,495.0000,117.0000
2024-03-12,196.0000,612.0000,-416.0000
2024-03-13,156.0000,196.0000,-40.0000
2024-03-14,876.0000,156.0000,720.0000
2024-03-15,228.0000,876.0000,-648.0000
2024-03-16,392.0000,228.0000,164.0000
2024-03-17,872.0000,392.0000,480.0000
2024-03-18,460.0000,872.0000,-412.0000
2024-03-19,198.0000,460.0000,-262.0000
2024-03-20,195.0000,198.0000,-3.0000
2024-03-21,95.0000,195.0000,-100.0000
2024-03-22,66.0000,95.0000,-29.0000
2024-03-23,108.0000,66.0000,42.0000
2024-03-24,240.0000,108.0000,132.0000
2024-03-25,360.0000,240.0000,120.0000
2024-03-26,243.0000,360.0000,-117.0000
2024-03-27,88.0000,243.0000,-155.0000
2024-03-28,1090.0000,88.0000,1002.0000
2024-03-29,132.0000,1090.0000,-958.0000
2024-03-30,87.0000,132.0000,-45.0000
2024-03-31,400.0000,87.0000,313.0000
2024-04-01,27.0000,400.0000,-373.0000
2024-04-02,920.0000,27.0000,893.0000
2024-04-03,168.0000,920.0000,-752.0000
2024-04-04,61.0000,168.0000,-107.0000
2024-04-05,390.0000,61.0000,329.0000
2024-04-06,315.0000,390.0000,-75.0000
2024-04-07,185.0000,315.0000,-130.0000
2024-04-08,399.0000,185.0000,214.0000
2024-04-09,163.0000,399.0000,-236.0000
